Constellation,From,To
Aries,1933-04-19,1933-05-13
Taurus,1933-05-14,1933-06-21
Gemini,1933-06-22,1933-07-20
Cancer,1933-07-21,1933-08-10
Leo,1933-08-11,1933-09-16
Virgo,1933-09-17,1933-10-30
Libra,1933-10-31,1933-11-22
Scorpius,1933-11-23,1933-11-29
Ophiucus,1933-11-30,1933-12-17
Sagittarius,1933-12-18,1933-01-19
Capricornus,1933-01-20,1933-02-15
Aquarius,1934-02-16,1934-03-12
Pisces,1934-03-13,1934-04-18
Aries,1934-04-19,1934-05-13
Taurus,1934-05-14,1934-06-21
Gemini,1934-06-22,1934-07-20
Cancer,1934-07-21,1934-08-10
Leo,1934-08-11,1934-09-16
Virgo,1934-09-17,1934-10-31
Libra,1934-11-01,1934-11-23
Scorpius,1934-11-24,1934-11-29
Ophiucus,1934-11-30,1934-12-17
Sagittarius,1934-12-18,1934-01-19
Capricornus,1934-01-20,1934-02-15
Aquarius,1935-02-17,1935-03-12
Pisces,1935-03-13,1935-04-18
Aries,1935-04-19,1935-05-14
Taurus,1935-05-15,1935-06-21
Gemini,1935-06-22,1935-07-20
Cancer,1935-07-21,1935-08-10
Leo,1935-08-11,1935-09-16
Virgo,1935-09-17,1935-10-31
Libra,1935-11-01,1935-11-23
Scorpius,1935-11-24,1935-11-29
Ophiucus,1935-11-30,1935-12-18
Sagittarius,1935-12-19,1935-01-19
Capricornus,1935-01-20,1935-02-16
Aquarius,1936-02-17,1936-03-11
Pisces,1936-03-12,1936-04-18
Aries,1936-04-19,1936-05-13
Taurus,1936-05-14,1936-06-20
Gemini,1936-06-21,1936-07-20
Cancer,1936-07-21,1936-08-09
Leo,1936-08-10,1936-09-16
Virgo,1936-09-17,1936-10-30
Libra,1936-10-31,1936-11-22
Scorpius,1936-11-23,1936-11-29
Ophiucus,1936-11-30,1936-12-17
Sagittarius,1936-12-18,1936-01-20
Capricornus,1936-01-21,1936-02-16
Aquarius,1937-02-16,1937-03-11
Pisces,1937-03-12,1937-04-18
